id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Ziad;Rock;-19080.0;-2496.0;-15236.0;-3792.0;7963.0;5599.0;0
1;Ziad;Rock;-15184.0;-2580.0;2480.0;-3808.0;2444.0;128.0;103
2;Ziad;Rock;3052.0;-3180.0;-6788.0;-3824.0;-8333.0;-8256.0;206
3;Ziad;Rock;-3556.0;-2536.0;-21536.0;-3840.0;-13029.0;-6723.0;310
4;Ziad;Rock;-8972.0;240.0;-27820.0;-3808.0;-7150.0;-3609.0;413
5;Ziad;Rock;-14928.0;2968.0;-32768.0;-3808.0;4827.0;2612.0;516
6;Ziad;Rock;-26172.0;1840.0;-20624.0;-3808.0;13824.0;9409.0;619
7;Ziad;Rock;-21896.0;1236.0;-3076.0;-3808.0;18461.0;8782.0;722
8;Ziad;Rock;-7688.0;-1860.0;-2052.0;-3808.0;5150.0;1696.0;826
9;Ziad;Rock;5036.0;-4424.0;-2328.0;-3760.0;-7411.0;-7225.0;929
10;Ziad;Rock;6648.0;-2760.0;-17696.0;-3824.0;-16277.0;-12900.0;1032
11;Ziad;Rock;-6980.0;-1164.0;-31348.0;-3808.0;-10055.0;-2963.0;1135
12;Ziad;Rock;-15516.0;-1988.0;-24604.0;-3808.0;1967.0;3242.0;1239
13;Ziad;Rock;-11964.0;-1880.0;-18496.0;-3808.0;8223.0;1866.0;1342
14;Ziad;Rock;-12072.0;-4360.0;-8900.0;-3840.0;3066.0;1008.0;1445
15;Ziad;Rock;-5884.0;-4820.0;-13272.0;-3808.0;-2019.0;-796.0;1548
16;Ziad;Rock;-8628.0;-4144.0;-14684.0;-3840.0;-1879.0;-144.0;1651
