id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
14;Khaloud;Tornado;-11732.0;-3872.0;-11088.0;-3120.0;-382.0;-1241.0;1445
1;Khaloud;Tornado;-13640.0;-8776.0;-13496.0;-3136.0;-267.0;-299.0;2375
2;Khaloud;Tornado;-29164.0;-8816.0;6956.0;-3104.0;368.0;3292.0;2479
3;Khaloud;Tornado;-2680.0;-2368.0;2380.0;-3136.0;-14792.0;-2716.0;2582
4;Khaloud;Tornado;8264.0;-1644.0;-20032.0;-3104.0;-11088.0;-2337.0;2684
5;Khaloud;Tornado;-9576.0;-4060.0;-22044.0;-3088.0;-377.0;71.0;2788
6;Khaloud;Tornado;-32120.0;-6468.0;-14408.0;-3120.0;12920.0;475.0;2891
7;Khaloud;Tornado;-26556.0;-5400.0;-5416.0;-3120.0;8604.0;-552.0;2995
8;Khaloud;Tornado;-16004.0;-2248.0;5148.0;-3136.0;1248.0;-419.0;3098
9;Khaloud;Tornado;-2716.0;-820.0;5172.0;-3120.0;-9414.0;-3571.0;3201
10;Khaloud;Tornado;3692.0;-1800.0;-7684.0;-3120.0;-12980.0;-1640.0;3304
11;Khaloud;Tornado;-5748.0;-4908.0;-27464.0;-3088.0;-9882.0;-3283.0;3407
12;Khaloud;Tornado;-22996.0;-7184.0;-16224.0;-3104.0;2153.0;4892.0;3511
13;Khaloud;Tornado;-20276.0;-6164.0;-8408.0;-3104.0;142.0;1155.0;3614
