id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Khaloud;Tornado;-13400.0;-6916.0;1572.0;-2800.0;-1324.0;631.0;0
1;Khaloud;Tornado;-12560.0;-6376.0;4664.0;-2832.0;-2845.0;1537.0;103
2;Khaloud;Tornado;-7460.0;-5736.0;-6016.0;-2816.0;-8909.0;6914.0;206
3;Khaloud;Tornado;-21108.0;-5664.0;-9276.0;-2816.0;2492.0;1624.0;309
4;Khaloud;Tornado;-25148.0;-3436.0;5684.0;-2800.0;4935.0;-1426.0;413
5;Khaloud;Tornado;-7444.0;-2556.0;7564.0;-2784.0;-4757.0;6131.0;516
6;Khaloud;Tornado;-6148.0;-3080.0;-2968.0;-2816.0;-11439.0;6146.0;619
7;Khaloud;Tornado;-11012.0;-4572.0;-11904.0;-2832.0;-5757.0;2831.0;722
8;Khaloud;Tornado;-21728.0;-5348.0;-12432.0;-2816.0;4275.0;-468.0;826
9;Khaloud;Tornado;-28304.0;-2736.0;-2668.0;-2816.0;10028.0;-4188.0;929
10;Khaloud;Tornado;-18328.0;-1272.0;7968.0;-2784.0;4080.0;-69.0;1032
11;Khaloud;Tornado;-8392.0;-2256.0;5496.0;-2800.0;-6356.0;4118.0;1135
12;Khaloud;Tornado;-912.0;-2096.0;-156.0;-2816.0;-14404.0;8009.0;1238
13;Khaloud;Tornado;-5968.0;-3408.0;-14268.0;-2816.0;-16649.0;7154.0;1342
14;Khaloud;Tornado;-18672.0;-5156.0;-20912.0;-2800.0;1782.0;636.0;1445
15;Khaloud;Tornado;-21512.0;-2560.0;-6816.0;-2800.0;-507.0;-3305.0;1548
16;Khaloud;Tornado;-14764.0;-3100.0;-6288.0;-2816.0;-796.0;-740.0;1651
17;Khaloud;Tornado;-14076.0;-2808.0;-7032.0;-2784.0;-761.0;-1001.0;1754
18;Khaloud;Tornado;-14208.0;-2904.0;-7560.0;-2800.0;-646.0;-966.0;1858
19;Khaloud;Tornado;-14848.0;-3004.0;-7152.0;-2832.0;-698.0;-470.0;1961
20;Khaloud;Tornado;-14644.0;-2596.0;-6800.0;-2768.0;-839.0;-676.0;2064
